"","X","loan_amnt","term","int_rate","installment","sub_grade","emp_length","home_ownership","annual_inc","verification_status","loan_status","purpose","dti","delinq_2yrs"
"1",541324,14000," 60 months",14.64,330.42,"C3","2 years","RENT",37000,"Source Verified","No Default","debt_consolidation",20.14,0
"2",1074,25000," 36 months",22.9,966.45,"E4","3 years","RENT",61000,"Verified","Default","debt_consolidation",10.62,0
"3",140389,19000," 60 months",13.35,435.73,"C2","10+ years","MORTGAGE",50000,"Not Verified","No Default","credit_card",33.94,0
"4",358264,8000," 36 months",16.2,282.05,"C4","6 years","RENT",50000,"Source Verified","No Default","debt_consolidation",8.64,0
"5",432626,10000," 60 months",12.05,222.7,"C1","3 years","MORTGAGE",77000,"Not Verified","No Default","credit_card",7.12,0
"6",9274,33600," 60 months",20.5,899.57,"E4","6 years","MORTGAGE",79000,"Verified","No Default","debt_consolidation",7.75,0
"7",580224,23400," 36 months",11.22,768.53,"B5","10+ years","OWN",65000,"Not Verified","No Default","debt_consolidation",19.46,0
"8",222667,10000," 36 months",15.31,348.18,"C2","10+ years","MORTGAGE",112000,"Verified","No Default","debt_consolidation",18.32,0
"9",452770,15000," 36 months",11.99,498.15,"B5","< 1 year","RENT",54584,"Source Verified","No Default","debt_consolidation",0.92,1
"10",231406,20000," 60 months",14.49,470.47,"C4","8 years","MORTGAGE",135000,"Source Verified","No Default","home_improvement",16.75,0
"11",245012,24000," 60 months",8.18,488.71,"B1","1 year","MORTGAGE",90870,"Not Verified","No Default","credit_card",24.96,0
"12",498478,19500," 36 months",14.98,675.79,"C3","7 years","MORTGAGE",106000,"Not Verified","No Default","other",9.25,0
"13",136618,14425," 60 months",17.57,362.94,"D4","10+ years","MORTGAGE",55000,"Source Verified","No Default","debt_consolidation",34.85,0
"14",311043,24000," 60 months",13.99,558.32,"C4","10+ years","RENT",52000,"Verified","No Default","credit_card",31.83,0
"15",241542,11775," 60 months",25.8,351.16,"G1","10+ years","MORTGAGE",50000,"Verified","No Default","debt_consolidation",19.68,0
"16",133545,5000," 36 months",24.08,196.38,"F2","8 years","MORTGAGE",48012,"Source Verified","No Default","other",12.27,0
"17",435919,7000," 36 months",16.55,248.01,"D2","3 years","RENT",50000,"Verified","No Default","debt_consolidation",31.69,0
"18",125234,35000," 60 months",18.25,893.54,"E1","7 years","RENT",94500,"Verified","No Default","credit_card",22.45,0
"19",152586,12000," 36 months",8.18,377.04,"B1","4 years","MORTGAGE",70000,"Source Verified","No Default","credit_card",35.3,0
"20",450547,4000," 36 months",12.29,133.42,"C1","8 years","OWN",40000,"Source Verified","No Default","home_improvement",18.54,0
"21",117537,9000," 36 months",6.24,274.78,"A2","< 1 year","RENT",70000,"Not Verified","No Default","credit_card",21.48,0
"22",593032,18075," 36 months",12.99,608.94,"C1","10+ years","OWN",45000,"Source Verified","No Default","credit_card",15.17,0
"23",584224,12000," 36 months",7.9,375.49,"A4","10+ years","MORTGAGE",1e+05,"Source Verified","No Default","debt_consolidation",10.98,0
"24",378526,28200," 60 months",13.67,651.36,"B5","10+ years","MORTGAGE",68642.64,"Verified","No Default","debt_consolidation",22.22,0
"25",55196,5000," 36 months",11.99,166.05,"B5","10+ years","MORTGAGE",94000,"Not Verified","No Default","debt_consolidation",11.12,1
"26",450407,2500," 36 months",12.69,83.87,"C2","2 years","RENT",45000,"Verified","No Default","other",18.51,2
"27",594970,17975," 36 months",11.67,594.2,"B4","1 year","RENT",40000,"Not Verified","No Default","credit_card",17.04,0
"28",234595,10000," 36 months",14.33,343.39,"C1","10+ years","RENT",51000,"Not Verified","No Default","debt_consolidation",7.72,0
"29",203721,11650," 60 months",12.69,263.23,"C2","10+ years","RENT",32000,"Not Verified","No Default","debt_consolidation",26.14,0
"30",357289,12800," 60 months",12.49,287.91,"B5","6 years","MORTGAGE",60000,"Not Verified","No Default","credit_card",30.98,0
"31",507859,10000," 36 months",10.49,324.98,"B3","10+ years","MORTGAGE",75000,"Not Verified","No Default","credit_card",16.06,0
"32",261559,4200," 36 months",9.67,134.88,"B1","9 years","MORTGAGE",50000,"Not Verified","No Default","debt_consolidation",15.19,1
"33",211404,7000," 36 months",12.29,233.48,"C1","3 years","RENT",22000,"Source Verified","No Default","other",26.4,0
"34",278016,30000," 60 months",13.67,692.93,"C4","10+ years","OWN",125000,"Verified","No Default","credit_card",17.14,0
"35",187987,6000," 36 months",9.17,191.28,"B1","10+ years","RENT",41000,"Not Verified","No Default","credit_card",9.75,0
"36",276399,15000," 60 months",17.86,379.76,"D5","n/a","MORTGAGE",35094.84,"Verified","No Default","debt_consolidation",37.56,0
"37",250095,7200," 36 months",11.44,237.23,"B4","4 years","MORTGAGE",55000,"Not Verified","No Default","home_improvement",15.69,0
"38",168209,10725," 60 months",25.89,320.42,"G3","n/a","MORTGAGE",36000,"Verified","No Default","debt_consolidation",13.6,0
"39",319020,10000," 36 months",8.18,314.2,"B1","2 years","RENT",26000,"Source Verified","No Default","credit_card",30.66,0
"40",328290,11000," 60 months",9.76,232.43,"B3","6 years","MORTGAGE",69000,"Not Verified","No Default","credit_card",13.9,0
"41",521093,28500," 60 months",10.99,619.52,"B4","4 years","RENT",102000,"Not Verified","No Default","credit_card",31.51,0
"42",352411,15000," 60 months",14.49,352.85,"C4","5 years","RENT",80000,"Source Verified","No Default","debt_consolidation",17.03,3
"43",540966,7000," 36 months",13.33,236.98,"C3","6 years","MORTGAGE",57000,"Source Verified","No Default","debt_consolidation",20.51,1
"44",462213,21600," 60 months",20.2,574.68,"D5","7 years","OWN",80000,"Verified","No Default","debt_consolidation",15.42,0
