"","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","sub_grade","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","zip_code","addr_state","dti","inq_last_6mths","open_acc","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","collections_12_mths_ex_med","application_type","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal"
"1",5000,5000,5000," 36 months",10.99,"B2","n/a","RENT",19350,"Verified","Oct-2013","Current","debt_consolidation","562xx","MN",17.98,0,5,4747,51,13,"f",1558.67,1558.67,4253.38,4253.38,3441.33,812.05,0,0,0,0,"INDIVIDUAL","",0,0,4747
"2",6400,6400,6375," 36 months",11.53,"B5","4 years","RENT",50000,"Source Verified","Jul-2015","Current","credit_card","638xx","MO",23.54,0,16,13517,68.6,26,"f",5480.27,5458.87,1262.74,1257.81,919.73,343.01,0,0,0,0,"INDIVIDUAL","",0,0,57369
"3",31475,31475,31475," 36 months",15.61,"D1","4 years","RENT",7e+05,"Source Verified","Jun-2015","Current","debt_consolidation","100xx","NY",9.36,1,15,56925,78.8,29,"f",26444.5,26444.5,7498.91,7498.91,5030.5,2468.41,0,0,0,0,"INDIVIDUAL","",0,0,169267
"4",21000,21000,21000," 36 months",10.64,"B4","1 year","RENT",62691,"Verified","Dec-2015","Current","debt_consolidation","551xx","MN",25.42,1,20,21624,78.9,23,"w",21000,21000,0,0,0,0,0,0,0,0,"INDIVIDUAL","",0,0,74646
"5",15100,15100,15075," 60 months",16.99,"D3","4 years","MORTGAGE",42000,"Verified","Aug-2015","Current","debt_consolidation","274xx","NC",21.8,0,8,6007,88.3,14,"f",14269.78,14246.15,1861.75,1858.67,830.22,1031.53,0,0,0,0,"INDIVIDUAL","",0,0,165252
"6",25000,25000,25000," 60 months",7.89,"A5","10+ years","MORTGAGE",50960,"Source Verified","Apr-2015","Current","credit_card","186xx","PA",25.27,0,9,9094,18.4,27,"w",21846.96,21846.96,4539.44,4539.44,3153.04,1386.4,0,0,0,0,"INDIVIDUAL","",0,0,108578
"7",15000,15000,15000," 60 months",12.99,"C2","10+ years","MORTGAGE",120000,"Not Verified","Nov-2014","Current","debt_consolidation","945xx","CA",21.39,0,23,145741,32.6,54,"w",12312.13,12312.13,4766.26,4766.26,2687.87,2078.39,0,0,0,0,"INDIVIDUAL","",0,0,888112
"8",25000,25000,25000," 60 months",9.17,"B2","2 years","MORTGAGE",117500,"Source Verified","Feb-2015","Current","debt_consolidation","080xx","NJ",18.31,0,14,54214,73,23,"w",21228.21,21228.21,5718.59,5718.59,3771.79,1946.8,0,0,0,0,"INDIVIDUAL","",0,0,401234
"9",5000,5000,5000," 36 months",13.98,"C1","6 years","MORTGAGE",39000,"Not Verified","Jan-2014","Current","home_improvement","301xx","GA",7.8,1,6,11462,39.1,15,"w",2049.87,2049.87,3929.32,3929.32,2950.13,979.19,0,0,0,0,"INDIVIDUAL","",0,0,11462
"10",35000,35000,35000," 36 months",9.99,"B3","4 years","MORTGAGE",270000,"Verified","Mar-2015","Current","credit_card","074xx","NJ",12.24,1,9,60409,83.3,21,"w",26300.91,26300.91,11272.48,11272.48,8699.09,2573.39,0,0,0,0,"INDIVIDUAL","",0,0,613618
"11",15000,15000,15000," 36 months",8.19,"A5","< 1 year","MORTGAGE",35000,"Source Verified","Nov-2014","Current","debt_consolidation","786xx","TX",28.16,0,10,6478,24.4,36,"f",9598.52,9598.52,6592.36,6592.36,5401.48,1190.88,0,0,0,0,"INDIVIDUAL","",0,0,43332
"12",33500,33500,33500," 60 months",17.57,"D4","1 year","MORTGAGE",104000,"Verified","Jun-2014","Current","debt_consolidation","973xx","OR",20.98,0,17,16414,52.3,27,"w",25844.96,25844.96,16014.53,16014.53,7655.04,8359.49,0,0,0,0,"INDIVIDUAL","",0,0,414511
